practice_id,accepting_adults,accepting_children,last_reported
V134993,no,no,2026-02-11
V030022,no,no,2026-02-11
V275840,yes,yes,2026-02-11
V144249,no,yes,2026-02-11
V084440,no,no,2026-02-11
V158025,yes,yes,2026-02-11
V324390,yes,yes,2026-02-11
V328939,yes,yes,2026-02-11
V037835,yes,yes,2026-02-11
V325328,yes,yes,2026-02-11
V330974,no,no,2026-02-11
V325869,no,no,2026-02-11
V341167,no,no,2026-02-11
V343961,yes,yes,2026-02-11
V343966,yes,yes,2026-02-11
V363294,no,no,2026-02-11
V021349,no,yes,2026-02-11
V010302,unknown,unknown,2026-02-11
V350134,unknown,unknown,2026-02-11
V353141,unknown,unknown,2026-02-11
V353310,no,yes,2026-02-11
V285451,no,no,2026-02-11
V285428,unknown,unknown,2026-02-11
V293404,no,no,2026-02-11
V346153,yes,yes,2026-02-11
V369475,unknown,unknown,2026-02-11
V370679,yes,yes,2026-02-11
V006312,no,no,2026-02-11
V359491,no,no,2026-02-11
V216481,yes,yes,2026-02-11
V362949,no,yes,2026-02-11
V362960,no,yes,2026-02-11
V373731,yes,yes,2026-02-11
V006173,no,yes,2026-02-11
V003459,no,no,2026-02-11
V004775,no,no,2026-02-11
V003273,no,yes,2026-02-11
V002993,no,no,2026-02-11
V002589,no,no,2026-02-11
V006104,no,no,2026-02-11
V007741,no,yes,2026-02-11
V003047,yes,yes,2026-02-11
V001708,yes,yes,2026-02-11
V008631,no,no,2026-02-11
V003014,no,no,2026-02-11
V006493,yes,yes,2026-02-11
V003275,no,no,2026-02-11
V006164,no,no,2026-02-11
V006502,no,yes,2026-02-11
V004495,no,no,2026-02-11
V017156,no,no,2026-02-11
V008409,yes,yes,2026-02-11
V007132,no,yes,2026-02-11
V043611,no,no,2026-02-11
V007469,no,no,2026-02-11
V008809,no,no,2026-02-11
V010317,yes,yes,2026-02-11
V008739,no,no,2026-02-11
V003776,yes,yes,2026-02-11
V003908,yes,yes,2026-02-11
V003073,no,no,2026-02-11
V003011,no,no,2026-02-11
V002247,yes,yes,2026-02-11
V003852,no,no,2026-02-11
V001602,yes,yes,2026-02-11
V001628,no,no,2026-02-11
V024874,no,no,2026-02-11
V003402,no,no,2026-02-11
V001680,yes,yes,2026-02-11
V003668,yes,yes,2026-02-11
V000097,no,yes,2026-02-11
V003404,yes,yes,2026-02-11
V004162,yes,yes,2026-02-11
V000067,no,no,2026-02-11
V003674,no,yes,2026-02-11
V003658,yes,yes,2026-02-11
V000101,no,no,2026-02-11
V003662,no,no,2026-02-11
V001029,no,no,2026-02-11
V000129,no,no,2026-02-11
V001055,yes,yes,2026-02-11
V013174,no,no,2026-02-11
V001899,no,no,2026-02-11
V005242,yes,yes,2026-02-11
V005450,no,yes,2026-02-11
V010466,no,yes,2026-02-11
V005404,yes,yes,2026-02-11
V008217,no,no,2026-02-11
V004423,no,no,2026-02-11
V004392,no,no,2026-02-11
V005312,no,no,2026-02-11
V008013,no,no,2026-02-11
V007672,no,no,2026-02-11
V008268,no,no,2026-02-11
V008421,yes,yes,2026-02-11
V008282,no,no,2026-02-11
V001915,no,no,2026-02-11
V008287,no,no,2026-02-11
V003315,no,no,2026-02-11
V006876,no,no,2026-02-11
V004144,yes,yes,2026-02-11
V017614,no,no,2026-02-11
V002944,no,yes,2026-02-11
V004226,yes,yes,2026-02-11
V004993,yes,yes,2026-02-11
V006029,unknown,unknown,2026-02-11
V004929,no,no,2026-02-11
V005650,no,no,2026-02-11
V002554,no,no,2026-02-11
V014311,no,yes,2026-02-11
V004594,yes,yes,2026-02-11
V008760_1,unknown,unknown,2026-02-11
V007451,yes,no,2026-02-11
V048543,yes,yes,2026-02-11
V003853,no,no,2026-02-11
V001976,no,no,2026-02-11
V397354,unknown,unknown,2026-02-11
V042160,unknown,unknown,2026-02-11
V003509,yes,yes,2026-02-11
V000775,unknown,unknown,2026-02-11
V008803,no,no,2026-02-11
V002682,no,no,2026-02-11
V002113,no,no,2026-02-11
V002676,no,no,2026-02-11
V005064,no,no,2026-02-11
V000822,no,no,2026-02-11
V000701,no,no,2026-02-11
V001144,no,no,2026-02-11
V000830,no,no,2026-02-11
V001135,no,yes,2026-02-11
V000814,no,no,2026-02-11
V005036,no,no,2026-02-11
V003072,yes,yes,2026-02-11
V004697,no,no,2026-02-11
V044650,no,yes,2026-02-11
V000760,yes,yes,2026-02-11
V003059,no,no,2026-02-11
V001549,yes,yes,2026-02-11
V005876,yes,yes,2026-02-11
V005748,no,yes,2026-02-11
V005362,no,no,2026-02-11
V003095,no,yes,2026-02-11
V001273,yes,yes,2026-02-11
V003813,no,no,2026-02-11
V003939,unknown,unknown,2026-02-11
V001225,yes,yes,2026-02-11
V002431,yes,yes,2026-02-11
V004835,yes,yes,2026-02-11
V002385,no,yes,2026-02-11
V004843,no,no,2026-02-11
V007426,yes,yes,2026-02-11
V011653,no,no,2026-02-11
V001226,no,no,2026-02-11
V004898,yes,yes,2026-02-11
V013491,no,no,2026-02-11
V005744,yes,yes,2026-02-11
V007111,no,yes,2026-02-11
V008087,no,no,2026-02-11
V003610,no,no,2026-02-11
V007346,yes,yes,2026-02-11
V003607,no,no,2026-02-11
V003583,no,no,2026-02-11
V006343,yes,yes,2026-02-11
V003562,no,no,2026-02-11
V008453,yes,yes,2026-02-11
V013005,no,no,2026-02-11
V003556,no,no,2026-02-11
V001314,yes,yes,2026-02-11
V007933,no,no,2026-02-11
V006060,yes,yes,2026-02-11
V009187,unknown,unknown,2026-02-11
V018049,no,no,2026-02-11
V013976,yes,yes,2026-02-11
V004327,no,yes,2026-02-11
V007361,no,yes,2026-02-11
V007515,yes,yes,2026-02-11
V007983,no,no,2026-02-11
V007978,no,no,2026-02-11
V007992,no,yes,2026-02-11
V402892,unknown,unknown,2026-02-11
V403207,unknown,unknown,2026-02-11
V007073,yes,yes,2026-02-11
V002027,no,no,2026-02-11
V002275,no,no,2026-02-11
V004107,yes,yes,2026-02-11
V004105,yes,yes,2026-02-11
V006865,no,no,2026-02-11
V004017,yes,yes,2026-02-11
V009831,no,no,2026-02-11
V007614,unknown,unknown,2026-02-11
V007405,no,no,2026-02-11
V014574,no,yes,2026-02-11
V008329,no,yes,2026-02-11
V000941,yes,yes,2026-02-11
V001323,no,no,2026-02-11
V009128,no,no,2026-02-11
V008865,yes,yes,2026-02-11
V000403,no,no,2026-02-11
V004593,no,no,2026-02-11
V007444,no,no,2026-02-11
V007097,no,yes,2026-02-11
V001866,unknown,unknown,2026-02-11
V008082,no,no,2026-02-11
V007925,no,no,2026-02-11
V006232,no,no,2026-02-11
V006287,no,no,2026-02-11
V005808,yes,yes,2026-02-11
V007649,yes,yes,2026-02-11
V007351,yes,yes,2026-02-11
V008740,no,yes,2026-02-11
V012545,no,no,2026-02-11
V000913,yes,yes,2026-02-11
V008969,no,no,2026-02-11
V004441,no,no,2026-02-11
V000736,no,no,2026-02-11
V009300,yes,yes,2026-02-11
V007577,yes,yes,2026-02-11
V013512,no,yes,2026-02-11
V006696,no,no,2026-02-11
V012386,no,yes,2026-02-11
V004828,yes,yes,2026-02-11
V001479,yes,yes,2026-02-11
V004893,no,no,2026-02-11
V008723,no,no,2026-02-11
V006737,yes,yes,2026-02-11
V003067,no,no,2026-02-11
V401413,unknown,unknown,2026-02-11
V006984,yes,yes,2026-02-11
V010845,yes,yes,2026-02-11
V008002,unknown,unknown,2026-02-11
V006761,no,no,2026-02-11
V006757,no,yes,2026-02-11
V008419,no,no,2026-02-11
V006772,yes,yes,2026-02-11
V005931,no,yes,2026-02-11
V014654,no,yes,2026-02-11
V006557,yes,yes,2026-02-11
V010455,no,no,2026-02-11
V001674,no,no,2026-02-11
V001639,no,no,2026-02-11
V006957,no,no,2026-02-11
V001665,no,no,2026-02-11
V006143,no,no,2026-02-11
V013003,yes,yes,2026-02-11
V002659,no,no,2026-02-11
V006091_1,yes,yes,2026-02-11
V006350,no,yes,2026-02-11
V002871,yes,yes,2026-02-11
V005113,no,yes,2026-02-11
V004830,yes,yes,2026-02-11
V003458,yes,yes,2026-02-11
V006431,yes,yes,2026-02-11
V001190,yes,yes,2026-02-11
V006549,no,no,2026-02-11
V003827,no,no,2026-02-11
V002325,yes,yes,2026-02-11
V003770,no,no,2026-02-11
V003816,yes,yes,2026-02-11
V017694,yes,yes,2026-02-11
V001762,no,no,2026-02-11
V001444,no,yes,2026-02-11
V001465,no,no,2026-02-11
V007754,no,no,2026-02-11
V008588,no,no,2026-02-11
V001759,no,no,2026-02-11
V005781,no,no,2026-02-11
V007598,yes,yes,2026-02-11
V007397,yes,yes,2026-02-11
V007505,no,no,2026-02-11
V017224,yes,yes,2026-02-11
V012682,yes,yes,2026-02-11
V005299,yes,yes,2026-02-11
V000181,yes,yes,2026-02-11
V003265,no,no,2026-02-11
V002494,yes,yes,2026-02-11
V002508,unknown,unknown,2026-02-11
V001165,no,no,2026-02-11
V003523,no,no,2026-02-11
V002517,yes,yes,2026-02-11
V002889,yes,yes,2026-02-11
V002171,yes,yes,2026-02-11
V012310,yes,yes,2026-02-11
V007193,yes,yes,2026-02-11
V004572,no,no,2026-02-11
V000624,no,no,2026-02-11
V012844,no,no,2026-02-11
V013705,no,no,2026-02-11
V001801,no,no,2026-02-11
V004506,no,no,2026-02-11
V004640,no,no,2026-02-11
V013879,yes,yes,2026-02-11
V001814,no,no,2026-02-11
V007277,yes,no,2026-02-11
V005857,no,no,2026-02-11
V000583,no,no,2026-02-11
V004552,yes,yes,2026-02-11
V000621,unknown,unknown,2026-02-11
V004322,yes,yes,2026-02-11
V006821,no,no,2026-02-11
V003754,no,yes,2026-02-11
V007806,no,no,2026-02-11
V005097,yes,yes,2026-02-11
V001505,unknown,unknown,2026-02-11
V010725,no,no,2026-02-11
V008832,no,no,2026-02-11
V231641,no,yes,2026-02-11
V006499,no,yes,2026-02-11
V006824,yes,yes,2026-02-11
V004634,no,no,2026-02-11
V010005,no,no,2026-02-11
V001415,no,yes,2026-02-11
V007946,unknown,unknown,2026-02-11
V005767,yes,yes,2026-02-11
V004508,no,no,2026-02-11
V001853,no,yes,2026-02-11
V001250,no,no,2026-02-11
V007091,unknown,unknown,2026-02-11
V010558,no,yes,2026-02-11
V013213,no,no,2026-02-11
V004261,no,no,2026-02-11
V005541,no,no,2026-02-11
V010495,yes,yes,2026-02-11
V005652,no,no,2026-02-11
V011608,yes,yes,2026-02-11
V004064,no,no,2026-02-11
V004120,yes,yes,2026-02-11
V032137,no,no,2026-02-11
V004302,yes,yes,2026-02-11
V318349,yes,yes,2026-02-11
V319010,unknown,unknown,2026-02-11
V008036,no,yes,2026-02-11
V009893,yes,yes,2026-02-11
V002916,yes,yes,2026-02-11
V009417,no,no,2026-02-11
V006820,no,no,2026-02-11
V006116,no,no,2026-02-11
V000952,no,no,2026-02-11
V011641,yes,yes,2026-02-11
V005613,no,yes,2026-02-11
V006752,yes,yes,2026-02-11
V004428,no,no,2026-02-11
V013936,no,yes,2026-02-11
V006363,no,no,2026-02-11
V000887,no,no,2026-02-11
V003815,no,yes,2026-02-11
V003538,yes,yes,2026-02-11
V000238,yes,yes,2026-02-11
V000478,yes,yes,2026-02-11
V000529,yes,yes,2026-02-11
V001185,yes,yes,2026-02-11
V000235,yes,yes,2026-02-11
V000232,yes,yes,2026-02-11
V000460,no,no,2026-02-11
V002602,no,no,2026-02-11
V002024,yes,yes,2026-02-11
V391532,unknown,unknown,2026-02-11
V391716,unknown,unknown,2026-02-11
V002259,no,no,2026-02-11
V139020,no,no,2026-02-11
V016019,yes,yes,2026-02-11
V007368,yes,yes,2026-02-11
V004879,no,no,2026-02-11
V013564,no,no,2026-02-11
V006418,no,no,2026-02-11
V004978,unknown,unknown,2026-02-11
V002856,no,no,2026-02-11
V005980,yes,yes,2026-02-11
V005984,no,no,2026-02-11
V002734,no,no,2026-02-11
V008844,yes,yes,2026-02-11
V008209,no,no,2026-02-11
V008237,no,no,2026-02-11
V024136,no,no,2026-02-11
V002745,no,no,2026-02-11
V017401,yes,yes,2026-02-11
V007712,yes,yes,2026-02-11
V007487,yes,yes,2026-02-11
V007704,no,no,2026-02-11
V007481,no,yes,2026-02-11
V007634,no,no,2026-02-11
V002839,yes,yes,2026-02-11
V008491,no,no,2026-02-11
V002956,no,no,2026-02-11
V002980,yes,yes,2026-02-11
V338245,no,no,2026-02-11
V005388,yes,yes,2026-02-11
V005393,no,no,2026-02-11
V011636,yes,yes,2026-02-11
V005377,no,no,2026-02-11
V005222,yes,yes,2026-02-11
V005300,yes,yes,2026-02-11
V005502,no,no,2026-02-11
V000270,no,no,2026-02-11
V000291,no,yes,2026-02-11
V000395,no,yes,2026-02-11
V004920,yes,yes,2026-02-11
V004951,yes,yes,2026-02-11
V004357,yes,yes,2026-02-11
V008485,yes,yes,2026-02-11
V008482,no,no,2026-02-11
V000171,yes,yes,2026-02-11
V013183,no,no,2026-02-11
V001588,no,no,2026-02-11
V004151,no,no,2026-02-11
V002013,no,no,2026-02-11
V007750,no,no,2026-02-11
V005555,no,no,2026-02-11
V006372,no,yes,2026-02-11
V007040,no,no,2026-02-11
V006715,no,no,2026-02-11
V012070,no,no,2026-02-11
V013198,no,no,2026-02-11
V007213,no,no,2026-02-11
V023506,yes,yes,2026-02-11
V405991,unknown,unknown,2026-02-11
V003412,yes,yes,2026-02-11
V014176,no,no,2026-02-11
V012963,no,no,2026-02-11
V005062,no,no,2026-02-11
V003374,no,yes,2026-02-11
V005115,no,no,2026-02-11
V006795,no,no,2026-02-11
V041513,no,yes,2026-02-11
V012723,no,no,2026-02-11
V012744,yes,yes,2026-02-11
V012085,unknown,unknown,2026-02-11
V009567,no,no,2026-02-11
V001028,no,no,2026-02-11
V008579,yes,yes,2026-02-11
V003102,yes,yes,2026-02-11
V000413,no,yes,2026-02-11
V010463,yes,yes,2026-02-11
V005792,no,no,2026-02-11
V004985,no,no,2026-02-11
V001212,yes,yes,2026-02-11
V007990,no,yes,2026-02-11
V001018,no,yes,2026-02-11
V004659,no,no,2026-02-11
V004675,no,no,2026-02-11
V000204,no,no,2026-02-11
V007118,yes,yes,2026-02-11
V004735,no,no,2026-02-11
V008712,no,yes,2026-02-11
V008702,yes,yes,2026-02-11
V004943,yes,yes,2026-02-11
V012982,no,yes,2026-02-11
V000612,no,no,2026-02-11
V004296,no,no,2026-02-11
V000493,yes,yes,2026-02-11
V014015,no,yes,2026-02-11
V008597,no,no,2026-02-11
V012687,yes,yes,2026-02-11
V007019,unknown,unknown,2026-02-11
V000613,no,no,2026-02-11
V002107,yes,yes,2026-02-11
V006404,no,no,2026-02-11
V007340,no,no,2026-02-11
V007333,yes,yes,2026-02-11
V009220,no,yes,2026-02-11
V008511,no,no,2026-02-11
V001939,yes,yes,2026-02-11
V007837,no,no,2026-02-11
V005752,no,no,2026-02-11
V009445,no,no,2026-02-11
V007609,no,no,2026-02-11
V013959,yes,yes,2026-02-11
V382007,unknown,unknown,2026-02-11
V383804,no,no,2026-02-11
V001649,yes,yes,2026-02-11
V001608,no,no,2026-02-11
V014063,no,no,2026-02-11
V003000,no,no,2026-02-11
V004344,yes,yes,2026-02-11
V002950,no,no,2026-02-11
V014172,no,yes,2026-02-11
V000831,no,no,2026-02-11
V006159,no,no,2026-02-11
V008221,yes,yes,2026-02-11
V000656,no,no,2026-02-11
V010548,no,no,2026-02-11
V001536,yes,yes,2026-02-11
V006945,yes,yes,2026-02-11
V007253,yes,yes,2026-02-11
V004373,yes,yes,2026-02-11
V005478,no,no,2026-02-11
V008887,unknown,unknown,2026-02-11
V009661,yes,yes,2026-02-11
V014784,no,no,2026-02-11
V012701,yes,yes,2026-02-11
V002296,no,yes,2026-02-11
V007714,no,no,2026-02-11
V002780,yes,yes,2026-02-11
V000617,no,no,2026-02-11
V001470,no,no,2026-02-11
V006262,no,yes,2026-02-11
V002089,no,no,2026-02-11
V007191,yes,yes,2026-02-11
V001040,yes,yes,2026-02-11
V012942,no,no,2026-02-11
V000554,no,no,2026-02-11
V001480,no,no,2026-02-11
V002078,yes,yes,2026-02-11
V014500,no,yes,2026-02-11
V011043,no,no,2026-02-11
V009209,no,no,2026-02-11
V008963,yes,yes,2026-02-11
V000170,yes,yes,2026-02-11
V005517,yes,yes,2026-02-11
V012435,no,yes,2026-02-11
V000690,no,no,2026-02-11
V002074,yes,yes,2026-02-11
V005703,unknown,unknown,2026-02-11
V003748,no,no,2026-02-11
V005720,no,no,2026-02-11
V008923,yes,yes,2026-02-11
V008163,no,no,2026-02-11
V017441,no,no,2026-02-11
V000530,no,no,2026-02-11
V002522,yes,yes,2026-02-11
V009012,no,no,2026-02-11
V002892,yes,yes,2026-02-11
V013038,yes,yes,2026-02-11
V002928,yes,yes,2026-02-11
V001810,no,no,2026-02-11
V002930,no,no,2026-02-11
V008211,no,no,2026-02-11
V001481,no,no,2026-02-11
V001171,no,yes,2026-02-11
V013055,yes,yes,2026-02-11
V003760,yes,yes,2026-02-11
V007171,yes,yes,2026-02-11
V004273,yes,no,2026-02-11
V001462,yes,yes,2026-02-11
V010887,yes,yes,2026-02-11
V004858,no,no,2026-02-11
V001394,yes,yes,2026-02-11
V004890,yes,yes,2026-02-11
V010685,yes,yes,2026-02-11
V001501,no,yes,2026-02-11
V008546,no,no,2026-02-11
V012327,no,no,2026-02-11
V013358,no,no,2026-02-11
V009395,yes,yes,2026-02-11
V002086,unknown,unknown,2026-02-11
V011005,no,no,2026-02-11
V005548,no,no,2026-02-11
V005582,yes,yes,2026-02-11
V002914,yes,yes,2026-02-11
V392012,yes,yes,2026-02-11
V011400,no,no,2026-02-11
V004716,no,no,2026-02-11
V002288,no,no,2026-02-11
V002831,no,no,2026-02-11
V003534,no,no,2026-02-11
V010875,no,yes,2026-02-11
V008898,no,no,2026-02-11
V007706_1,no,no,2026-02-11
V007353,yes,yes,2026-02-11
V013276,no,yes,2026-02-11
V004642,no,yes,2026-02-11
V007457,yes,yes,2026-02-11
V004088,no,yes,2026-02-11
V003271,no,yes,2026-02-11
V004393,no,no,2026-02-11
V000513,yes,yes,2026-02-11
V004711,no,no,2026-02-11
V001194,yes,yes,2026-02-11
V000508,yes,yes,2026-02-11
V000063,yes,yes,2026-02-11
V000646,yes,yes,2026-02-11
V000477,yes,yes,2026-02-11
V002610,yes,yes,2026-02-11
V394965,unknown,unknown,2026-02-11
V002339,no,no,2026-02-11
V008689,no,no,2026-02-11
V008806,no,yes,2026-02-11
V014082,no,no,2026-02-11
V013285,no,yes,2026-02-11
V003156,no,no,2026-02-11
V011712,no,yes,2026-02-11
V008861,no,no,2026-02-11
V012877,no,no,2026-02-11
V012231,no,no,2026-02-11
V017246,unknown,unknown,2026-02-11
V002050,yes,yes,2026-02-11
V006416,yes,yes,2026-02-11
V006179,yes,yes,2026-02-11
V006182,yes,yes,2026-02-11
V005989,yes,yes,2026-02-11
V005973,no,no,2026-02-11
V005992,no,yes,2026-02-11
V005987,no,no,2026-02-11
V008231,no,no,2026-02-11
V002755,no,no,2026-02-11
V042200,unknown,unknown,2026-02-11
V337125,no,no,2026-02-11
V337531,unknown,unknown,2026-02-11
V338671,no,no,2026-02-11
V007774,no,no,2026-02-11
V002055,no,no,2026-02-11
V008035,no,no,2026-02-11
V009169,unknown,unknown,2026-02-11
V006808,no,no,2026-02-11
V005297,unknown,unknown,2026-02-11
V008028,no,no,2026-02-11
V007686,no,yes,2026-02-11
V007977,no,no,2026-02-11
V000267,no,no,2026-02-11
V000266,no,no,2026-02-11
V000338,yes,yes,2026-02-11
V000337,no,yes,2026-02-11
V000362,no,no,2026-02-11
V000353,no,no,2026-02-11
V002829,no,yes,2026-02-11
V012893,no,yes,2026-02-11
V008339,no,no,2026-02-11
V007724,no,no,2026-02-11
V007087,no,no,2026-02-11
V008145,no,no,2026-02-11
V007484,no,no,2026-02-11
V003244,no,no,2026-02-11
V006028,no,no,2026-02-11
V003233,no,no,2026-02-11
V007798,no,no,2026-02-11
V008683,no,no,2026-02-11
V014710,no,no,2026-02-11
V013794,no,no,2026-02-11
V014952,unknown,unknown,2026-02-11
V014772,yes,yes,2026-02-11
V017790,no,no,2026-02-11
V011615,no,no,2026-02-11
V006233,no,yes,2026-02-11
V007179,no,no,2026-02-11
V024941,unknown,unknown,2026-02-11
V008693,no,no,2026-02-11
V041384,no,no,2026-02-11
V401224,unknown,unknown,2026-02-11
V012654,no,no,2026-02-11
V011435,yes,yes,2026-02-11
V044636,no,no,2026-02-11
V012755,no,no,2026-02-11
V001581,yes,yes,2026-02-11
V001217,no,no,2026-02-11
V010644,no,no,2026-02-11
V002322,yes,yes,2026-02-11
V048174,no,no,2026-02-11
V007726,no,yes,2026-02-11
V004605,no,yes,2026-02-11
V008093,no,no,2026-02-11
V005747,yes,yes,2026-02-11
V014525,no,no,2026-02-11
V006257,no,no,2026-02-11
V006995,no,no,2026-02-11
V004438,yes,yes,2026-02-11
V004691,yes,yes,2026-02-11
V005835,no,yes,2026-02-11
V008909,no,yes,2026-02-11
V001684,no,no,2026-02-11
V002443,yes,yes,2026-02-11
V006369,no,no,2026-02-11
V007486_1,no,no,2026-02-11
V003431,yes,yes,2026-02-11
V004007,no,no,2026-02-11
V016024,yes,yes,2026-02-11
V012611,no,no,2026-02-11
V007198,no,no,2026-02-11
V032803,no,no,2026-02-11
V010024,unknown,unknown,2026-02-11
V009976,no,no,2026-02-11
V018528,yes,yes,2026-02-11
V008958,no,no,2026-02-11
V012613,no,no,2026-02-11
V030174,no,yes,2026-02-11
V010571,unknown,unknown,2026-02-11
V029281,yes,yes,2026-02-11
V014892,unknown,unknown,2026-02-11
V014922,yes,yes,2026-02-11
V011351,no,no,2026-02-11
V010118,unknown,unknown,2026-02-11
V011868,no,no,2026-02-11
V012646,no,no,2026-02-11
V042527,no,no,2026-02-11
V042398,yes,yes,2026-02-11
V006491,no,no,2026-02-11
V013184,unknown,unknown,2026-02-11
V029723,no,yes,2026-02-11
V012931,no,yes,2026-02-11
V043845,no,no,2026-02-11
V019749,no,yes,2026-02-11
V026452,no,no,2026-02-11
V180318,no,no,2026-02-11
V027231,yes,yes,2026-02-11
V014747,no,no,2026-02-11
V001719,unknown,unknown,2026-02-11
V043198,no,no,2026-02-11
V036731,no,no,2026-02-11
V040822,no,no,2026-02-11
V012699,no,no,2026-02-11
V032195,no,no,2026-02-11
V027682,unknown,unknown,2026-02-11
V009138,no,yes,2026-02-11
V009593,no,no,2026-02-11
